fips,date,model_abbr,forecast_date,weekly_new_cases_0.01,weekly_new_cases_0.025,weekly_new_cases_0.05,weekly_new_cases_0.1,weekly_new_cases_0.15,weekly_new_cases_0.2,weekly_new_cases_0.25,weekly_new_cases_0.3,weekly_new_cases_0.35,weekly_new_cases_0.4,weekly_new_cases_0.45,weekly_new_cases_0.5,weekly_new_cases_0.55,weekly_new_cases_0.6,weekly_new_cases_0.65,weekly_new_cases_0.7,weekly_new_cases_0.75,weekly_new_cases_0.8,weekly_new_cases_0.85,weekly_new_cases_0.9,weekly_new_cases_0.95,weekly_new_cases_0.975,weekly_new_cases_0.99,weekly_new_deaths_0.01,weekly_new_deaths_0.025,weekly_new_deaths_0.05,weekly_new_deaths_0.1,weekly_new_deaths_0.15,weekly_new_deaths_0.2,weekly_new_deaths_0.25,weekly_new_deaths_0.3,weekly_new_deaths_0.35,weekly_new_deaths_0.4,weekly_new_deaths_0.45,weekly_new_deaths_0.5,weekly_new_deaths_0.55,weekly_new_deaths_0.6,weekly_new_deaths_0.65,weekly_new_deaths_0.7,weekly_new_deaths_0.75,weekly_new_deaths_0.8,weekly_new_deaths_0.85,weekly_new_deaths_0.9,weekly_new_deaths_0.95,weekly_new_deaths_0.975,weekly_new_deaths_0.99
01027,2020-11-23,COVIDhub-ensemble,2020-11-02,,0,,4,,,19,,,,,29,,,,,42,,,53,,78,,,,,,,,,,,,,,,,,,,,,,,,
01027,2020-11-30,COVIDhub-ensemble,2020-11-02,,0,,3,,,18,,,,,29,,,,,41,,,56,,81,,,,,,,,,,,,,,,,,,,,,,,,
01029,2020-11-09,COVIDhub-ensemble,2020-11-02,,7,,12,,,20,,,,,28,,,,,38,,,47,,54,,,,,,,,,,,,,,,,,,,,,,,,
01029,2020-11-16,COVIDhub-ensemble,2020-11-02,,0,,7,,,15,,,,,27,,,,,37,,,44,,56,,,,,,,,,,,,,,,,,,,,,,,,
01029,2020-11-23,COVIDhub-ensemble,2020-11-02,,0,,4,,,12,,,,,27,,,,,38,,,47,,61,,,,,,,,,,,,,,,,,,,,,,,,
01029,2020-11-30,COVIDhub-ensemble,2020-11-02,,0,,3,,,14,,,,,27,,,,,39,,,51,,66,,,,,,,,,,,,,,,,,,,,,,,,
01031,2020-11-09,COVIDhub-ensemble,2020-11-02,,38,,65,,,86,,,,,111,,,,,143,,,166,,199,,,,,,,,,,,,,,,,,,,,,,,,
01031,2020-11-16,COVIDhub-ensemble,2020-11-02,,25,,51,,,72,,,,,112,,,,,153,,,181,,232,,,,,,,,,,,,,,,,,,,,,,,,
01031,2020-11-23,COVIDhub-ensemble,2020-11-02,,17,,43,,,65,,,,,114,,,,,156,,,189,,245,,,,,,,,,,,,,,,,,,,,,,,,
01031,2020-11-30,COVIDhub-ensemble,2020-11-02,,13,,39,,,61,,,,,116,,,,,159,,,205,,251,,,,,,,,,,,,,,,,,,,,,,,,
01033,2020-11-09,COVIDhub-ensemble,2020-11-02,,111,,126,,,133,,,,,148,,,,,161,,,175,,197,,,,,,,,,,,,,,,,,,,,,,,,
01033,2020-11-16,COVIDhub-ensemble,2020-11-02,,84,,104,,,127,,,,,146,,,,,169,,,192,,216,,,,,,,,,,,,,,,,,,,,,,,,
01033,2020-11-23,COVIDhub-ensemble,2020-11-02,,71,,94,,,121,,,,,148,,,,,175,,,199,,232,,,,,,,,,,,,,,,,,,,,,,,,
01033,2020-11-30,COVIDhub-ensemble,2020-11-02,,45,,92,,,120,,,,,152,,,,,180,,,213,,244,,,,,,,,,,,,,,,,,,,,,,,,
01035,2020-11-09,COVIDhub-ensemble,2020-11-02,,0,,0,,,6,,,,,9,,,,,19,,,24,,28,,,,,,,,,,,,,,,,,,,,,,,,
01035,2020-11-16,COVIDhub-ensemble,2020-11-02,,0,,0,,,4,,,,,11,,,,,21,,,25,,28,,,,,,,,,,,,,,,,,,,,,,,,
01035,2020-11-23,COVIDhub-ensemble,2020-11-02,,0,,1,,,5,,,,,13,,,,,22,,,25,,32,,,,,,,,,,,,,,,,,,,,,,,,
01035,2020-11-30,COVIDhub-ensemble,2020-11-02,,0,,0,,,3,,,,,14,,,,,22,,,27,,32,,,,,,,,,,,,,,,,,,,,,,,,
01037,2020-11-09,COVIDhub-ensemble,2020-11-02,,1,,7,,,9,,,,,14,,,,,22,,,25,,34,,,,,,,,,,,,,,,,,,,,,,,,
01037,2020-11-16,COVIDhub-ensemble,2020-11-02,,0,,5,,,9,,,,,17,,,,,25,,,31,,44,,,,,,,,,,,,,,,,,,,,,,,,
01037,2020-11-23,COVIDhub-ensemble,2020-11-02,,0,,2,,,9,,,,,18,,,,,27,,,36,,45,,,,,,,,,,,,,,,,,,,,,,,,
01037,2020-11-30,COVIDhub-ensemble,2020-11-02,,0,,5,,,9,,,,,19,,,,,28,,,39,,50,,,,,,,,,,,,,,,,,,,,,,,,
01039,2020-11-09,COVIDhub-ensemble,2020-11-02,,37,,59,,,75,,,,,115,,,,,147,,,176,,199,,,,,,,,,,,,,,,,,,,,,,,,
01039,2020-11-16,COVIDhub-ensemble,2020-11-02,,35,,56,,,77,,,,,101,,,,,165,,,192,,218,,,,,,,,,,,,,,,,,,,,,,,,
